,Valence,Dominance,Arousal,Frequency,Effect_Size,P_Value
abruptly,0.25,0.808,0.556,3.56,0.0837310395609284,0.4395298329289093
abscess,0.154,0.451,0.349,2.81,0.5163093446706202,0.150981925440281
absence,0.153,0.235,0.266,4.34,-0.6807030751883528,0.9124680917244704
absent,0.177,0.221,0.116,3.98,-0.3150024188746834,0.7308996554254346
absentee,0.235,0.33,0.279,3.17,-0.6904313974660535,0.9196963963589144
absenteeism,0.404,0.273,0.357,2.57,0.2037195318129417,0.3447979000372903
absinthe,0.481,0.51,0.462,2.69,-0.1830989138432581,0.6360094387333013
absolute,0.526,0.51,0.827,4.54,-0.2459350594235757,0.689008282387316
absolution,0.715,0.5,0.664,2.85,-1.1326467853563515,0.9871048895518614
absolve,0.684,0.449,0.66,2.83,-0.8859814356119815,0.9626229821863076
absorb,0.469,0.558,0.67,3.81,-0.0683154180562677,0.5459718944903176
absorbed,0.49,0.471,0.519,3.92,-0.0019407034165216,0.5022298716730651
absorbent,0.552,0.394,0.718,2.81,0.2190498399811839,0.3294752296972142
absorbing,0.49,0.49,0.578,3.5,0.0764751172009286,0.4374086649662322
absorption,0.609,0.422,0.446,3.66,0.0070534140891965,0.4862390295932769
abstain,0.385,0.385,0.427,3.07,-0.4183842716568623,0.7939797923899267
abstention,0.271,0.264,0.509,2.51,-0.313640565086164,0.7286855278013606
abstinence,0.26,0.392,0.429,3.18,0.658533202473161,0.0922302459781647
abstract,0.438,0.292,0.444,4.14,0.2351715068413761,0.325065388527991
abstraction,0.469,0.439,0.525,3.3,-0.1454938087825057,0.6177531979749853
absurd,0.188,0.656,0.284,3.95,-0.5149012861274299,0.8457744130309472
absurdity,0.115,0.528,0.227,3.21,-0.3822925875898799,0.7826503404607617
abundance,0.812,0.69,0.852,3.86,-0.019872004517582,0.5195580464676025
abundant,0.958,0.59,0.76,3.77,-0.2336904179950491,0.6813381965054642
abuse,0.071,0.873,0.469,4.66,-0.0304858480813617,0.5229761608090372
abused,0.021,0.874,0.235,4.0,0.4143095871798374,0.2040954282359055
abusive,0.125,0.903,0.567,3.87,0.3080856641041595,0.275634532309198
abutment,0.5,0.265,0.616,2.35,0.2853194302223534,0.2864205765663835
aby,0.385,0.452,0.368,2.36,0.2318971617240094,0.3211660379987912
abysmal,0.25,0.71,0.598,2.92,-0.4425757156556217,0.8100121649874373
abyss,0.353,0.725,0.296,3.4,-0.3405689935408582,0.7469192455718605
academic,0.781,0.42,0.812,4.57,-0.1276821527959463,0.6047276294242776
academy,0.704,0.473,0.792,4.57,-0.8064891173904711,0.948015614678911
accede,0.698,0.51,0.537,2.5,-0.4662245316431884,0.8188068545229574
accelerant,0.643,0.844,0.802,2.12,0.1378986589597522,0.3919639020365105
accelerate,0.615,0.902,0.759,3.66,-0.4222148802876812,0.8050031899219181
accelerated,0.61,0.812,0.682,3.75,-0.3002967345476965,0.7273699506820498
acceleration,0.704,0.905,0.843,3.73,-0.952122053648463,0.9724906284740849
accelerator,0.593,0.83,0.812,3.42,-0.5206454295559387,0.851089737181772
accent,0.598,0.357,0.509,4.14,0.5154476524314302,0.1501859795310186
accentuate,0.673,0.556,0.667,2.76,0.8314271501113717,0.0480623351983674
accept,0.847,0.286,0.565,4.85,-0.5076221798202503,0.8425972197884393
acceptable,0.812,0.286,0.583,4.27,0.0001190483062088,0.5048647694193998
acceptance,0.833,0.287,0.755,4.16,0.1286454341207922,0.4026000578291945
acceptances,0.847,0.413,0.648,2.36,0.5010530143016194,0.1593950551984555
access,0.714,0.472,0.567,5.05,0.1497718266222852,0.3835231125994246
accessible,0.796,0.41,0.645,4.18,0.1834803839878958,0.360993183140269
accession,0.612,0.383,0.636,3.4,-0.6625154903549345,0.9080142480542668
accessory,0.562,0.292,0.445,3.63,0.7649745027177529,0.0629303340485618
accident,0.125,0.908,0.336,4.71,-0.147342088997802,0.6143344418475309
accidental,0.319,0.784,0.307,3.82,0.4606239925778466,0.178734874121565
accidentally,0.333,0.741,0.333,4.22,0.1285372586114646,0.398216296214969
acclaim,0.562,0.809,0.718,3.29,-0.2117393375588588,0.6614240564681982
accolade,0.688,0.591,0.775,2.82,-0.1503936438553399,0.6214344727144165
accommodate,0.844,0.375,0.566,4.02,0.0660317930891376,0.4502760939286542
accommodation,0.817,0.415,0.587,4.06,0.4813756727871291,0.1699166068148372
accompaniment,0.74,0.479,0.695,3.22,0.1333043312403791,0.395525435863133
accompany,0.833,0.406,0.585,3.81,0.1287826662220053,0.393058379978965
accompanying,0.787,0.46,0.582,3.85,0.2970237348726175,0.2742804516861317
accomplice,0.408,0.58,0.51,3.22,-0.5771722463024274,0.8710569923606062
accomplish,0.929,0.673,0.816,4.05,-0.3665487895561781,0.7687844573772777
accomplished,0.87,0.52,0.798,4.15,-0.5635255998059583,0.8749359810708865
accomplishment,0.917,0.694,0.888,3.69,-0.0671662269119962,0.552150018856585
accord,0.898,0.264,0.382,3.81,-0.9644804130097094,0.9726538098762316
accordance,0.659,0.349,0.6,4.13,-0.4149018672270326,0.7969585762817835
accordion,0.604,0.49,0.361,3.09,-0.4924974254817315,0.835045879870392
account,0.531,0.347,0.472,5.21,-0.5051001762332784,0.8416847993119201
accountability,0.755,0.537,0.833,3.91,-0.2966067582605051,0.7272955235019847
accountable,0.709,0.282,0.777,3.9,-0.4065851086080301,0.7937914947484148
accountant,0.625,0.45,0.639,3.76,-0.3595344544570444,0.7644649522607649
accounting,0.552,0.39,0.677,4.29,-0.2581322758348082,0.6932631801303171
accounts,0.592,0.34,0.471,4.73,-0.3543536384421137,0.7591424919175946
accredited,0.669,0.479,0.768,3.71,0.4045446034206708,0.2058491082117566
accretion,0.448,0.519,0.672,2.78,0.3731133525134162,0.2253420514465529
accrue,0.52,0.481,0.602,2.91,-0.3772442257479102,0.7725760733674258
accueil,0.45,0.451,0.47,1.35,-0.3164559870913864,0.734875862515805
accumulate,0.573,0.536,0.607,3.48,-0.1814140995727839,0.6352915878075853
accumulation,0.479,0.527,0.6,3.59,-0.1380474328798849,0.610292234423579
accuracy,0.604,0.481,0.802,4.24,-0.2823493936399238,0.7105298822773269
accurate,0.743,0.36,0.737,4.57,-0.1587773756342544,0.6303402530190244
accursed,0.135,0.745,0.345,2.64,-1.096292113964586,0.987217016366686
accusation,0.073,0.718,0.564,3.6,-0.6893135887991917,0.9127069849632384
accusative,0.198,0.755,0.482,2.51,0.1983055760077302,0.3447264395166596
accuse,0.133,0.752,0.5,3.71,-0.8569963099005973,0.9550333671416884
accused,0.13,0.67,0.42,4.46,-0.7930201811720416,0.9444506701983711
accuser,0.122,0.779,0.615,2.99,-0.7569211769484852,0.9309514336217564
accusing,0.156,0.745,0.324,3.74,-0.5231391316662943,0.85297776565213
accustomed,0.542,0.365,0.441,3.64,-0.3201798931551509,0.7448662110156671
ace,0.643,0.481,0.546,4.11,-1.149304179395363,0.9898272465649244
acetic,0.333,0.42,0.519,2.65,0.4291265286679344,0.1897404128722377
acetylene,0.306,0.469,0.509,2.44,-0.9715843106500732,0.974894679112966
ache,0.146,0.76,0.312,3.43,0.4699307472134096,0.177237007682022
achieve,0.816,0.545,0.843,4.57,0.0376963224037595,0.4702486722002178
achieved,0.896,0.519,0.775,4.49,-0.1158789143719834,0.592292170194587
achievement,0.896,0.808,0.759,4.36,-0.5012092053884022,0.8383424037165768
aching,0.053,0.88,0.348,3.29,0.5734534595069216,0.1247352828965604
achy,0.167,0.84,0.373,2.39,0.191470745304139,0.3536632766893488
acid,0.265,0.642,0.566,4.45,0.1440629902150064,0.3852223753380609
acidity,0.156,0.663,0.36,3.2,0.762617918113193,0.0637007006923333
acknowledge,0.786,0.37,0.661,4.18,-0.3304902803481356,0.7485661949627338
acknowledged,0.714,0.443,0.765,4.08,-0.5759674597036814,0.8767622018212582
acknowledgement,0.819,0.539,0.83,3.32,-0.2252624383630358,0.674981692144231
acknowledgment,0.796,0.528,0.777,3.11,-0.4748172033476636,0.8251031037883905
acme,0.408,0.435,0.375,2.89,-0.7639986108380274,0.939751825469472
acne,0.167,0.474,0.308,3.66,0.8405546033353584,0.0474075494285021
acorn,0.448,0.198,0.192,3.08,0.2601188909056293,0.3045744493923739
acoustic,0.542,0.462,0.536,3.98,-0.226698790365092,0.6748097831000308
acoustics,0.611,0.33,0.509,3.1,-0.4714452700284288,0.8296382741803693
acquaint,0.646,0.491,0.639,2.51,-0.2532451804342491,0.6913516055303097
acquaintance,0.656,0.29,0.67,3.55,-0.3290918193133012,0.7403255657135944
acquainted,0.906,0.358,0.632,3.51,-0.4701945882885152,0.8286154086376945
acquiescence,0.542,0.48,0.554,2.47,-0.3911645895134275,0.7846001568838264
acquire,0.833,0.468,0.7,4.13,-0.4098361500475874,0.7927486659988613
acquiring,0.735,0.51,0.817,3.8,-0.3611776320678029,0.7593002085131759
acquisition,0.698,0.509,0.736,4.26,-0.656827821051549,0.904040672959284
acquisitions,0.773,0.66,0.79,3.69,-0.461809010227341,0.8214222138198919
acquit,0.583,0.571,0.611,2.58,-1.040136937875601,0.9821157976961556
acquittal,0.76,0.497,0.7,3.04,-0.7767330912856911,0.939616222876914
acre,0.583,0.387,0.423,3.93,-1.111089267386188,0.9864699914141076
acreage,0.741,0.45,0.528,3.05,0.0307751569962255,0.4832374702770708
acres,0.51,0.363,0.5,4.17,-0.9551991482439712,0.9715751198398492
acrobat,0.708,0.828,0.602,2.72,0.7571400941155166,0.0640795534021592
acrylic,0.582,0.279,0.42,3.42,0.7221364152126867,0.0751391529799231
act,0.656,0.704,0.735,5.3,-0.4136431772147112,0.797593065248612
acting,0.698,0.643,0.5,4.82,-0.0184797734737728,0.510363699143343
action,0.76,0.898,0.802,5.25,-0.4170141932844458,0.7991185429174994
actionable,0.673,0.702,0.613,3.0,-0.0769138106337698,0.560725325421131
activate,0.764,0.65,0.806,3.76,-0.3081320944550698,0.7337463955095553
activation,0.781,0.8,0.754,3.83,-0.07555320831272,0.5571534093936749
active,0.847,0.73,0.731,4.93,-0.1340202227603981,0.6043465318457383
activist,0.531,0.653,0.877,4.13,0.4033439297849214,0.2091621419670384
activity,0.701,0.66,0.807,4.86,0.2179711297247848,0.3287017689133014
actor,0.653,0.561,0.629,4.65,-1.264406732105667,0.9941994534481368
actress,0.633,0.556,0.596,4.45,1.7195723360459312,0.0002609148783535
actual,0.729,0.4,0.716,4.85,-0.0897812999408685,0.5682928210897331
actuality,0.75,0.464,0.6,3.1,0.0607264946791082,0.4573815685813176
actuary,0.51,0.404,0.491,2.5,-0.9151081050252552,0.9665416204683792
acuity,0.469,0.378,0.741,2.81,0.1532042066334938,0.3768198788535183
acumen,0.564,0.66,0.679,2.91,-0.7147030874021477,0.9209989727406188
acupuncture,0.531,0.324,0.549,3.04,0.5967397460443935,0.1184082514245015
acute,0.427,0.652,0.534,4.0,0.5700357113396058,0.1244413566806031
acutely,0.417,0.543,0.491,3.13,0.4419443006892403,0.1901687701122768
ad,0.521,0.705,0.558,4.76,-0.4354887673139036,0.8096900695239835
adage,0.517,0.415,0.566,2.95,-0.8208803036149788,0.9504935846598308
adamant,0.344,0.529,0.575,3.28,-0.1971023068805558,0.6511361616020299
adapt,0.74,0.355,0.551,3.98,-0.2388696018053671,0.6864094767000064
adaptable,0.735,0.423,0.641,3.12,0.2496776783887081,0.3072664525650523
adaptation,0.663,0.365,0.609,4.01,-0.2699111032717756,0.7057619699208052
add,0.728,0.49,0.554,5.09,0.011705171528049,0.4913465982256204
added,0.562,0.405,0.509,5.16,-0.1423110793748122,0.6048044240895567
addendum,0.392,0.37,0.418,2.89,-0.1755416577430652,0.6348602344569235
adder,0.388,0.461,0.588,2.69,-0.4909531491821005,0.8344418904902008
addict,0.075,0.696,0.327,3.68,0.6190465287086988,0.1027997608712878
addicted,0.156,0.712,0.483,3.82,0.9731051191935068,0.0256488274939203
addiction,0.18,0.806,0.42,4.14,1.143445496241844,0.0114738071838302
addictive,0.302,0.683,0.472,3.61,0.7903980881584817,0.0571567149648319
addition,0.562,0.373,0.471,5.01,0.1701177045500753,0.3691204601152167
additional,0.673,0.462,0.526,4.98,0.0230516305896357,0.4826032113522432
additive,0.561,0.633,0.691,3.33,-0.1204610910370318,0.5998185922148018
address,0.65,0.327,0.567,4.91,0.1090546855092705,0.4141131931999934
addressee,0.622,0.382,0.538,2.34,0.2948726241823056,0.2784895646064298
addresses,0.51,0.354,0.45,4.13,-0.0038247383306767,0.4953735003226368
adept,0.594,0.539,0.789,3.33,-0.6400656758338084,0.9025049305453006
adequacy,0.615,0.435,0.702,2.85,0.6413137252403625,0.1010730844404965
adequate,0.854,0.264,0.705,4.05,-0.0503320935337713,0.540227920240167
adhere,0.633,0.339,0.554,3.57,0.2945229747331663,0.2758578300858338
adherence,0.76,0.307,0.63,3.34,0.1279960198002876,0.3958745628831671
adherent,0.561,0.385,0.555,2.6,-0.1218479193548933,0.5929018489413413
adhering,0.612,0.561,0.537,3.13,0.2777511766345752,0.2853760404297538
adhesion,0.521,0.445,0.586,3.14,-0.1358587365166793,0.6121939093785531
adhesive,0.604,0.35,0.413,3.37,0.4381291126434853,0.1944154215577749
adieu,0.25,0.471,0.342,2.83,-0.2825249567560082,0.7153252399538659
adipose,0.333,0.35,0.391,2.76,0.1765000360565827,0.3616750286808925
adjacency,0.365,0.417,0.375,2.25,-0.1764748385371952,0.6401428410939323
adjacent,0.645,0.276,0.536,4.12,0.3550674227443582,0.2393404505554311
adjective,0.57,0.316,0.569,3.34,0.0411719565509553,0.4719275835794277
adjoining,0.52,0.4,0.393,3.5,0.1934700051405743,0.3490479055187309
adjourn,0.385,0.456,0.475,2.71,-0.1381357740055832,0.6111666266134583
adjournment,0.438,0.51,0.37,2.66,-0.6177398437694261,0.8937201824172114
adjudicate,0.559,0.52,0.683,2.47,-0.4840794796397283,0.8353327172985392
adjudication,0.551,0.462,0.691,2.76,-0.5816659692307823,0.8736650975075142
adjunct,0.459,0.44,0.426,3.3,0.3809225964794745,0.2188519027945108
adjust,0.647,0.327,0.638,4.07,-0.1231928675092048,0.6029573312055645
adjuster,0.51,0.54,0.76,2.68,-0.5349784285873885,0.85460999701528
adjustment,0.59,0.52,0.661,3.88,-0.4160997666102334,0.798109497285596
adjuvant,0.51,0.5,0.456,2.58,0.8118940998282934,0.0550948765551619
admin,0.688,0.42,0.854,3.92,0.0610873900262927,0.4526042886341233
administer,0.635,0.425,0.86,3.54,-0.2237268727860805,0.6706231420667402
administration,0.625,0.404,0.786,4.93,-0.5999886459579223,0.8875245680065416
administrative,0.542,0.415,0.579,4.45,-0.0364950729084538,0.5238298159262357
administrator,0.538,0.48,0.902,4.07,-0.4138768291682413,0.7948866083946523
admirable,0.929,0.6,0.87,3.48,-0.3504164825666948,0.7549331277390677
admiral,0.844,0.49,0.847,4.0,-1.4973503516151634,0.998598854282628
admiralty,0.594,0.547,0.733,3.44,-1.357170936076334,0.9964923230986046
admiration,0.969,0.583,0.726,3.59,-0.4155675093174552,0.7987613354108374
admire,0.867,0.692,0.704,3.97,0.3682433281749285,0.2295106616272937
admired,0.917,0.56,0.815,3.72,0.1207522616559035,0.4009547557370908
admirer,0.796,0.72,0.65,3.19,-0.6712647851741111,0.9062162455274704
admiring,0.867,0.578,0.629,3.3,0.6207609544693709,0.1067112017853942
admissibility,0.802,0.58,0.602,2.26,-0.29068813022203,0.7134460965361622
admissible,0.78,0.528,0.642,2.87,-0.3299818428817734,0.7460420492615123
admission,0.802,0.415,0.732,4.15,-0.1945312855123857,0.6516265170347368
admit,0.538,0.423,0.667,4.58,-0.2271203326383097,0.6749348106037617
admittance,0.69,0.451,0.598,2.8,0.0752680488495859,0.4396388517547412
admitted,0.72,0.49,0.767,4.49,-0.5525858389111001,0.8665163853642339
admitting,0.62,0.5,0.546,3.8,-0.4191126196210389,0.8024629927179088
admixture,0.45,0.375,0.438,2.58,0.0370346182794333,0.4673786895753019
admonition,0.357,0.606,0.455,2.51,-0.9617307488882836,0.9723703089691114
ado,0.52,0.423,0.385,3.2,-0.7357162613260367,0.9344568231844168
adobe,0.5,0.319,0.328,3.53,-0.0201723991792449,0.5147273044192324
adolescence,0.487,0.694,0.444,3.36,0.6416089744043479,0.1010947726552473
adolescent,0.781,0.68,0.509,3.58,0.4577305289772851,0.1817998507776672
adopt,0.694,0.612,0.701,4.19,0.4412569074801694,0.1876375719492305
adoption,0.625,0.566,0.589,4.17,0.8096332490005157,0.0536228923704297
adoptive,0.531,0.469,0.52,3.22,0.7115611808487405,0.0803138450893647
adorable,0.969,0.519,0.457,4.06,0.9812501961984568,0.0240171146879744
adoration,0.885,0.699,0.708,3.11,0.2798762780224732,0.2829003337882048
adore,0.854,0.438,0.657,3.7,1.0479518002219832,0.017266565421357
adoring,0.885,0.62,0.717,2.82,0.8628821165090035,0.0408863545556968
adorn,0.91,0.424,0.482,3.01,0.6268309075283431,0.1056778022324533
adornment,0.918,0.373,0.377,2.47,0.8616814414660646,0.0418179635553916
adrenalin,0.865,0.92,0.786,2.77,-0.4756449088689714,0.8311624593738778
adrenaline,0.765,0.965,0.825,3.52,-0.6217245008835665,0.8949612809373114
adrift,0.398,0.486,0.23,3.06,-0.3610758915880084,0.7647397183761591
adult,0.815,0.491,0.787,4.8,0.5394461728346109,0.1483381590104691
adulterated,0.188,0.865,0.37,2.41,-0.3522249903974224,0.7563758418330307
adulterer,0.229,0.814,0.407,2.32,-0.3772145210156695,0.7763009281983251
adultery,0.12,0.922,0.51,3.41,0.5124367771047355,0.1540870873057036
adulthood,0.541,0.454,0.652,3.6,0.6706193436153475,0.0876859280037194
advance,0.673,0.472,0.858,4.65,-0.5254316378146223,0.8502113189012444
advanced,0.844,0.623,0.797,4.71,-0.7650472497853565,0.934635959550094
advancement,0.776,0.65,0.839,3.81,-0.6112527721585427,0.8919309283901371
advancing,0.929,0.608,0.812,3.86,-0.4844253961931622,0.833841478571969
advantage,0.917,0.548,0.859,4.78,-0.6010551189805009,0.8843140244335004
advantageous,0.837,0.64,0.789,3.33,0.2380132556982465,0.3107527605775877
advent,0.665,0.56,0.627,3.67,-1.046371136325455,0.9821456416076424
adventure,0.917,0.857,0.71,4.46,-0.1343434920325945,0.6008277679960088
adventurer,0.781,0.839,0.868,3.18,-0.8939963559720482,0.9622107627168476
adventures,0.812,0.764,0.749,4.15,-0.0637825905337948,0.5477050999779735
adventurous,0.969,0.898,0.722,3.48,0.5668439991662826,0.1249927348484545
adversary,0.349,0.777,0.457,3.29,-0.8998246160348851,0.962625190570825
adverse,0.323,0.61,0.385,3.89,0.4113436805887355,0.204080033905858
adversity,0.276,0.76,0.538,3.38,-0.5924606629954356,0.8794193375466228
advertise,0.5,0.529,0.58,3.66,0.3667099353147453,0.2374739834159509
advertisement,0.6,0.566,0.539,3.84,0.2408416791452678,0.3134444734383577
advertising,0.622,0.608,0.632,4.54,-0.1267141588103517,0.6012363033257924
adverts,0.551,0.5,0.595,3.26,0.3760486293004856,0.2276371906861579
advice,0.698,0.408,0.688,4.88,-0.0269930584423016,0.5221942143399849
advisable,0.867,0.48,0.51,3.26,0.3744703840268662,0.2256987126966126
advise,0.76,0.393,0.705,4.09,-0.0597867316860086,0.5404690241391464
advised,0.823,0.33,0.509,4.18,-0.184264095808008,0.6488846430720301
advisement,0.698,0.235,0.655,2.4,-0.0363476208066924,0.5256946940277181
adviser,0.745,0.362,0.705,3.94,-0.5270853296521443,0.8531505669402952
advisor,0.646,0.35,0.689,4.01,-0.3287744570433419,0.7492280817683263
advisory,0.656,0.429,0.633,4.18,0.0523923619287128,0.4596908985086443
advocacy,0.5,0.646,0.731,3.9,0.5349115102476892,0.1432669946704607
advocate,0.551,0.53,0.818,4.21,0.028061212287689,0.482172543607933
aegis,0.49,0.439,0.462,3.06,-0.0586895047444943,0.5555168110000448
aeration,0.55,0.5,0.433,2.49,0.0615934077005508,0.4531337333359437
aerial,0.615,0.461,0.463,3.91,-0.5239269225649095,0.8522618738185289
aerobics,0.708,0.771,0.627,2.75,1.5926573688436994,0.0007420091201194
aerodrome,0.541,0.74,0.678,2.54,-0.8338569649663334,0.951770913547346
aerodynamic,0.561,0.724,0.728,3.19,-0.0514331298440022,0.5441992012056502
aerodynamics,0.59,0.663,0.722,2.93,-0.6483636268295527,0.898233149523081
aeronautics,0.551,0.633,0.688,3.1,-0.777513231575538,0.938125328265109
aeroplane,0.714,0.642,0.644,3.18,-0.580736342416537,0.8777303000358951
aerospace,0.643,0.52,0.779,3.73,-0.98041881514348,0.9764372984930726
aesthetic,0.708,0.442,0.526,4.02,0.1840375849881573,0.3480887153199309
aesthetics,0.847,0.327,0.549,3.59,0.3116814291365944,0.266262533980979
aetiology,0.48,0.398,0.615,1.96,0.5794926723150751,0.124938438027737
afar,0.396,0.373,0.358,3.35,-0.1225496898832226,0.5962899391110501
affable,0.704,0.38,0.452,2.66,-1.514521344917916,0.9987277701900436
affair,0.52,0.459,0.657,4.3,0.6668948211861186,0.091682218122348
affect,0.458,0.569,0.578,4.59,0.2157392221679291,0.3305597335847141
affecting,0.35,0.574,0.394,4.07,0.4430429130962284,0.188911417665945
affection,0.898,0.559,0.696,3.92,0.1752907399984157,0.3687399920893279
affectionate,0.949,0.422,0.55,3.35,0.853220737607925,0.0449935612631766
affections,0.76,0.547,0.655,3.07,0.2228921188124266,0.3324302159810027
affiche,0.479,0.265,0.402,1.05,-0.2895612330825542,0.7191797847563465
affidavit,0.469,0.584,0.526,3.38,-0.5498658918977966,0.8649153481475371
affiliated,0.673,0.519,0.535,3.96,0.0512697375628627,0.4608463489907474
affiliation,0.615,0.594,0.5,3.63,0.0662868899694215,0.4493415504053171
affinity,0.8,0.5,0.537,3.61,0.3125826666076757,0.2644202051021541
affirm,0.745,0.509,0.731,3.2,-0.4105826872827132,0.7927787739881058
affirmation,0.75,0.5,0.689,3.24,-0.2368267185306419,0.6834414389728569
affirmative,0.854,0.589,0.816,3.57,0.0521033292461532,0.4615698113924318
affirmatively,0.908,0.5,0.811,2.33,0.3942721552942754,0.2163102443556592
affix,0.438,0.335,0.411,2.63,0.4031073985972448,0.2104299034149075
afflict,0.302,0.555,0.293,2.43,-0.6821356841605655,0.91448536357066
afflicted,0.271,0.5,0.167,3.29,-0.7641243317661698,0.939979933310618
affliction,0.294,0.635,0.392,3.11,-0.767037890118863,0.9414086226721022
affluence,0.663,0.618,0.722,2.74,-0.0125970467569676,0.5055197281014387
affluent,0.756,0.388,0.477,3.37,0.5472370679687808,0.1350385038852593
afford,0.571,0.58,0.575,4.57,-0.122502117645848,0.6000116901802569
affordable,0.84,0.398,0.493,4.22,0.8719852805930657,0.0400533787294167
affront,0.327,0.74,0.547,2.89,-0.3809845198329211,0.7767963145347176
affronted,0.385,0.75,0.527,2.15,-0.0806576868050311,0.5682512101139973
afield,0.594,0.37,0.373,3.0,-0.3697842006272409,0.7679930785908246
afire,0.367,0.904,0.675,2.46,0.1196631416912087,0.4053631473537531
afloat,0.602,0.427,0.444,3.33,0.2034259481946109,0.3418987815992165
afore,0.5,0.337,0.382,2.42,-0.5083044406277417,0.8462250125990893
aforementioned,0.49,0.316,0.408,3.54,-0.358684833137108,0.7641326839532259
aforesaid,0.531,0.358,0.478,2.6,-0.9618111446575628,0.9718301813454756
afraid,0.01,0.775,0.245,4.7,-0.044449083557743,0.5386103080851694
afresh,0.643,0.521,0.48,2.78,-0.1130224166681719,0.5931523640884778
aft,0.48,0.417,0.518,3.39,0.4327496883073505,0.1927732743088857
